Number of items, Use mutex, Number of pop errors, Percent of pop errors, Elapsed time (microseconds)
     1,  true,     0,   0.00%,     97.10
     1, false,     0,   0.00%,    103.60
     2,  true,     0,   0.00%,     90.30
     2, false,     0,   0.00%,    135.60
     4,  true,     0,   0.00%,     57.50
     4, false,     0,   0.00%,    133.90
     8,  true,     0,   0.00%,     93.10
     8, false,     0,   0.00%,     89.90
    16,  true,     0,   0.00%,    125.50
    16, false,     0,   0.00%,     92.60
    32,  true,     0,   0.00%,     94.00
    32, false,     0,   0.00%,     56.80
    64,  true,     0,   0.00%,    100.80
    64, false,     0,   0.00%,    117.50
   128,  true,     0,   0.00%,    127.00
   128, false,     0,   0.00%,     99.20
   256,  true,     0,   0.00%,    121.90
   256, false,     0,   0.00%,    105.30
   512,  true,     0,   0.00%,    169.20
   512, false,   156,  30.47%,   5885.10
  1024,  true,     0,   0.00%,    226.80
  1024, false,    64,   6.25%,    112.00
  2048,  true,     0,   0.00%,    376.10
  2048, false,   962,  46.97%,  65291.70
  4096,  true,     0,   0.00%,    700.10
  4096, false,  1156,  28.22%,  20286.00
  8192,  true,     0,   0.00%,   1287.80
  8192, false,  3761,  45.91%,    226.70
 16384,  true,     0,   0.00%,   2613.60
 16384, false,  4581,  27.96%,    383.50
 32768,  true,     0,   0.00%,   4925.60
 32768, false, 13535,  41.31%, 1037016.63
 65536,  true,     0,   0.00%,   9280.50
 65536, false, 31468,  48.02%, 3408771.13
131072,  true,     0,   0.00%,  20015.00
131072, false, 68717,  52.43%,   2167.40
262144,  true,     0,   0.00%,  38997.20
262144, false, 127437,  48.61%, 5419406.18
524288,  true,     0,   0.00%,  73895.31
524288, false, 235105,  44.84%,   8793.20
1048576,  true,     0,   0.00%, 140101.61
1048576, false, 582348,  55.54%, 47932512.29
